Date : 2025-03-30 15:48:02
Directory : d:\Projects\Advenro\Advenro
Total : 466 files,  75866 codes, 10487 comments, 10345 blanks, all 96698 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\newsletter.routes.js           | JavaScript   |         31 |         12 |          9 |         52 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\payment.routes.js              | JavaScript   |         44 |          3 |          4 |         51 |
| d:\Projects\Advenro\Advenro\deployment\src\server\routes\review.routes.js               | JavaScript   |        185 |         12 |         30 |        227 |
| d:\Projects\Advenro\Advenro\deployment\src\server\server.js                             | JavaScript   |         82 |          8 |         10 |        100 |
| d:\Projects\Advenro\Advenro\deployment\src\server\utils\cloudStorage.js                 | JavaScript   |        124 |         12 |         17 |        153 |
| d:\Projects\Advenro\Advenro\deployment\src\server\utils\email.js                        | JavaScript   |         23 |          3 |          3 |         29 |
| d:\Projects\Advenro\Advenro\deployment\src\server\utils\error.js                        | JavaScript   |         70 |          5 |         11 |         86 |
| d:\Projects\Advenro\Advenro\deployment\src\server\utils\payment.js                      | JavaScript   |         67 |          5 |          5 |         77 |
| d:\Projects\Advenro\Advenro\deployment\src\services\archiveService.js                   | JavaScript   |        169 |         10 |         26 |        205 |
| d:\Projects\Advenro\Advenro\deployment\src\services\backupService.js                    | JavaScript   |        171 |          6 |         21 |        198 |
| d:\Projects\Advenro\Advenro\deployment\src\services\bookingComService.js                | JavaScript   |        444 |        119 |         50 |        613 |
| d:\Projects\Advenro\Advenro\deployment\src\services\cacheService.js                     | JavaScript   |        112 |          2 |         19 |        133 |
| d:\Projects\Advenro\Advenro\deployment\src\services\exportService.js                    | JavaScript   |        177 |          0 |         32 |        209 |
| d:\Projects\Advenro\Advenro\deployment\src\services\indexService.js                     | JavaScript   |        186 |          4 |         22 |        212 |
| d:\Projects\Advenro\Advenro\deployment\src\services\loggingService.js                   | JavaScript   |        132 |         13 |         24 |        169 |
