"filename", "language", "JavaScript", "JSON", "Markdown", "PowerShell", "Docker", "Shell Script", "HTML", "CSS", "Batch", "YAML", "comment", "blank", "total"
"d:\Projects\Advenro\Advenro\deployment\README.md", "Markdown", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 42, 170
"d:\Projects\Advenro\Advenro\deployment\ecosystem.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"d:\Projects\Advenro\Advenro\deployment\package.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"d:\Projects\Advenro\Advenro\deployment\src\components\common\LoadingSpinner.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 10, 73
"d:\Projects\Advenro\Advenro\deployment\src\components\common\Toast.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\Advenro\Advenro\deployment\src\components\loading-spinner.html", "HTML", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 4, 15, 123
"d:\Projects\Advenro\Advenro\deployment\src\components\offline-support.html", "HTML", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 8, 33, 247
"d:\Projects\Advenro\Advenro\deployment\src\components\service-worker.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 162
"d:\Projects\Advenro\Advenro\deployment\src\components\toast-notifications.html", "HTML", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 4, 22, 151
"d:\Projects\Advenro\Advenro\deployment\src\config\database.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\Projects\Advenro\Advenro\deployment\src\config\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Projects\Advenro\Advenro\deployment\src\config\redis.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"d:\Projects\Advenro\Advenro\deployment\src\config\swagger.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 129
"d:\Projects\Advenro\Advenro\deployment\src\config\test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
